artists,duration_ms,explicit,id,key,modified_query,name,num_weeks,popularity,release_date,search_query,uri
,169266.0,True,,Bryson Tiller,,Run Me Dry,1,,2017-05-26,bryson tiller run me dry,spotify:track:5GG3knKdxKWrNboRijxeKF
,167853.0,True,,Bryson Tiller,,Self-Made,1,,2017-05-26,bryson tiller self-made,spotify:track:2rUwQj4SWaP2anuGDtNpYR
,194266.0,True,,Bryson Tiller,,Somethin Tells Me,1,,2017-05-26,bryson tiller somethin tells me,spotify:track:3Jrs7cC2OJNlNSy9VnDOMZ
,135533.0,False,,Burl Ives,,A Holly Jolly Christmas - Single Version,3,,1965-01-01,burl ives a holly jolly christmas,spotify:track:65Q2mv3UlVi9eO70OpsmSe
,260285.0,False,,Calum Scott,,Dancing On My Own,1,,2018-03-09,calum scott dancing on my own,spotify:track:2BOqDYLOJBiMOXShCV1neZ
,240093.0,True,,"Calvin Harris, Kehlani, Lil Yachty",,Faking It (feat. Kehlani & Lil Yachty),4,,2017-06-30,calvin harris faking it,spotify:track:0pJPdSVti6cTM1Q6xYGmcf
,223413.0,True,,"Calvin Harris, Pharrell Williams, Katy Perry, Big Sean",,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",18,,2017-06-30,calvin harris feels,spotify:track:5bcTCxgc7xVfSaMV3RuVke
,229160.0,True,,"Calvin Harris, Young Thug, Pharrell Williams, Ariana Grande",,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",1,,2017-06-30,calvin harris heatstroke,spotify:track:60APt5N2NRaKWf5xzJdzyC
,214846.0,False,,"Calvin Harris, Dua Lipa",,One Kiss (with Dua Lipa),13,,2018-04-06,calvin harris one kiss,spotify:track:7ef4DlsgrMEH11cDZd32M6
,272666.0,True,,"Calvin Harris, Future, Khalid",,Rollin,4,,2017-05-12,calvin harris rollin,spotify:track:3FDrI0FLKzrYQiWxPhqV2W
,230813.0,True,,"Calvin Harris, Frank Ocean, Migos",,Slide (feat. Frank Ocean & Migos),20,,2017-02-24,calvin harris slide,spotify:track:6gpcs5eMhJwax4mIfKDYQk
,216391.0,False,,Camila Cabello,,Crying in the Club,9,,2017-05-18,camila cabello crying in the club,spotify:track:1SJtlNRJDeYHioymcvsqev
,217306.0,False,,"Camila Cabello, Young Thug",,Havana (feat. Young Thug),45,,2018-01-12,camila cabello havana,spotify:track:1rfofaqEpACxVEHIZBJe6W
,226973.0,False,,Camila Cabello,,Never Be the Same,29,,2018-01-12,camila cabello never be the same,spotify:track:4eWQlBRaTjPPUlzacqEeoQ
,228893.0,False,,"Camila Cabello, Quavo",,OMG,1,,2017-08-03,camila cabello omg,spotify:track:4xBjsLUSjcx2h7PcRikpQp
,224284.0,True,,"Cardi B, 21 Savage",,Bartier Cardi (feat. 21 Savage),19,,2018-04-06,cardi b bartier cardi,spotify:track:0dIoGTQXDh1wVnhIiSyYEa
,210787.0,True,,Cardi B,,Be Careful,14,,2018-04-06,cardi b be careful,spotify:track:2Yl4OmDby9iitgNWZPwxkd
